SalesOrderNumber,FiscalYear,FiscalQuarter,SalesTerritoryRegion,ProductCategoryName,ProductSubcategoryName,ProductGroupName,OrderStatus,OrderQuantity,UnitPrice,Profit,SalesAmount,Return
SO44259,2012,1,Northwest,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,136.23 ","$3,499.99 ",FALSE
SO43954,2012,1,United Kingdom,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,766.99 ","$3,499.99 ",FALSE
SO44233,2012,1,United Kingdom,Gaming PC,Gaming PC,Corsair One Gaming PC,Shipped,1,3499.99,"$2,136.23 ","$3,499.99 ",FALSE
SO44245,2012,1,China,Gaming PC,Gaming PC,Corsair One Workstation Grade PC,Shipped,1,4499.99,$135.22 ,"$4,499.99 ",FALSE
SO43714,2012,1,United Kingdom,Gaming PC,Gaming PC,Corsair One Workstation Grade PC,Shipped,1,4499.99,$135.22 ,"$4,499.99 ",FALSE
SO43705,2012,1,China,PC Components,CPU Coolers,Dual Radiator Liquid Coolers,Shipped,1,169.99,$37.25 ,$169.99 ,FALSE
SO43710,2012,1,China,PC Components,CPU Coolers,Dual Radiator Liquid Coolers,Shipped,1,169.99,$96.19 ,$169.99 ,True
SO44144,2012,1,China,PC Components,CPU Coolers,Dual Radiator Liquid Coolers,Shipped,1,169.99,$37.25 ,$169.99 ,FALSE
SO43725,2012,1,Germany,PC Components,CPU Coolers,Dual Radiator Liquid Coolers,Backordered,1,169.99,$96.19 ,$169.99 ,FALSE
SO43745,2012,1,China,PC Components,Custom Cooling,Fittings and Tubing,Shipped,1,16.99,$11.74 ,$16.99 ,FALSE
SO43783,2012,1,China,PC Components,Custom Cooling,Fittings and Tubing,Shipped,1,26.99,$15.89 ,$26.99 ,FALSE
SO43816,2012,1,China,PC Components,Custom Cooling,Fittings and Tubing,Shipped,1,16.99,$11.74 ,$16.99 ,FALSE
SO44158,2012,1,Germany,PC Components,Custom Cooling,Fittings and Tubing,Shipped,1,26.99,$15.89 ,$26.99 ,FALSE
SO43820,2012,1,Southwest,PC Components,Custom Cooling,Fittings and Tubing,Shipped,1,26.99,$15.89 ,$26.99 ,FALSE
SO44135,2012,1,Southwest,PC Components,Custom Cooling,Fittings and Tubing,Shipped,1,16.99,$11.74 ,$16.99 ,FALSE
SO43735,2012,1,China,Gaming Gear,Mice,FPS Action Gaming Mice,Shipped,1,59.99,$19.98 ,$59.99 ,FALSE
SO43827,2012,1,China,Gaming Gear,Mice,FPS Action Gaming Mice,Shipped,1,59.99,$16.83 ,$59.99 ,FALSE
SO44035,2012,1,China,Gaming Gear,Mice,FPS Action Gaming Mice,Shipped,1,59.99,$19.98 ,$59.99 ,FALSE
SO43726,2012,1,Southwest,Gaming Gear,Mice,FPS Action Gaming Mice,Backordered,1,59.99,$24.78 ,$59.99 ,FALSE
SO43755,2012,1,Southwest,Gaming Gear,Mice,FPS Action Gaming Mice,Shipped,1,59.99,$16.83 ,$59.99 ,FALSE
SO43784,2012,1,Southwest,Gaming Gear,Mice,FPS Action Gaming Mice,Shipped,1,59.99,$19.98 ,$59.99 ,FALSE
SO43758,2012,1,Southwest,Gaming Gear,Accessories,Gaming Accessories,Shipped,1,49.99,$18.87 ,$49.99 ,FALSE
SO44257,2012,1,Australia,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,299.99,$94.05 ,$299.99 ,FALSE
SO43697,2012,1,Canada,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,399.99,$130.42 ,$399.99 ,FALSE
SO44237,2012,1,China,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,399.99,$130.42 ,$399.99 ,FALSE
SO44276,2012,1,China,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,399.99,$130.42 ,$399.99 ,FALSE
SO43720,2012,1,Germany,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,399.99,$130.42 ,$399.99 ,FALSE
SO44053,2012,1,Germany,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,399.99,$130.42 ,$399.99 ,FALSE
SO44198,2012,1,Southwest,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,399.99,$130.42 ,$399.99 ,FALSE
SO43708,2012,1,United Kingdom,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,299.99,$94.05 ,$299.99 ,FALSE
SO44188,2012,1,United Kingdom,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,399.99,$130.42 ,$399.99 ,FALSE
SO44271,2012,1,United Kingdom,Gaming Gear,Chairs,Gaming Chairs,Shipped,1,299.99,$94.05 ,$299.99 ,FALSE
SO44175,2012,1,China,Gaming Gear,Accessories,Gaming Replacement Parts,Shipped,1,49.99,$41.24 ,$49.99 ,FALSE
SO43922,2012,1,Germany,Gaming Gear,Accessories,Gaming Replacement Parts,Shipped,1,49.99,$41.24 ,$49.99 ,FALSE
SO44215,2012,1,Northwest,Gaming Gear,Accessories,Gaming Replacement Parts,Shipped,1,49.99,$41.24 ,$49.99 ,FALSE
SO44015,2012,1,United Kingdom,Gaming Gear,Accessories,Gaming Replacement Parts,Shipped,1,49.99,$41.24 ,$49.99 ,FALSE
SO44045,2012,1,Australia,PC Components,Fans,GRB Fans,Shipped,1,139.99,$27.43 ,$139.99 ,FALSE
SO43799,2012,1,China,PC Components,Fans,GRB Fans,Shipped,1,139.99,$27.43 ,$139.99 ,FALSE
SO43837,2012,1,China,PC Components,Fans,GRB Fans,Shipped,1,129.99,$76.34 ,$129.99 ,FALSE
SO43776,2012,1,Germany,PC Components,Fans,GRB Fans,Shipped,1,129.99,$76.34 ,$129.99 ,True
SO44229,2012,1,Northwest,PC Components,Fans,GRB Fans,Shipped,1,129.99,$76.34 ,$129.99 ,FALSE
SO43721,2012,1,United Kingdom,PC Components,Fans,GRB Fans,Shipped,1,139.99,$27.43 ,$139.99 ,FALSE
SO43979,2012,1,Northwest,Streaming Gear,Green Screen,Green Screen,Shipped,1,159.99,$146.29 ,$159.99 ,FALSE
SO43811,2012,1,China,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,16.99,$12.65 ,$16.99 ,FALSE
SO43956,2012,1,China,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,59.99,$42.76 ,$59.99 ,FALSE
SO44191,2012,1,China,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,59.99,$42.76 ,$59.99 ,FALSE
SO44279,2012,1,China,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,16.99,$12.65 ,$16.99 ,FALSE
SO43752,2012,1,Germany,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,16.99,$12.65 ,$16.99 ,FALSE
SO43829,2012,1,Southwest,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,16.99,$12.65 ,$16.99 ,FALSE
SO43936,2012,1,Southwest,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,16.99,$12.65 ,$16.99 ,FALSE
SO44031,2012,1,United Kingdom,Gaming Gear,Mousepads,Hard Surface Mouse Pads,Shipped,1,16.99,$12.65 ,$16.99 ,FALSE
SO43779,2012,1,China,Gaming Gear,Headsets,Headset Stands,Shipped,1,69.99,$28.86 ,$69.99 ,FALSE
SO43809,2012,1,China,Gaming Gear,Headsets,Headset Stands,Shipped,1,34.99,$8.17 ,$34.99 ,FALSE
SO44026,2012,1,China,Gaming Gear,Headsets,Headset Stands,Shipped,1,69.99,$28.86 ,$69.99 ,FALSE
SO44214,2012,1,China,Gaming Gear,Headsets,Headset Stands,Shipped,1,69.99,$28.86 ,$69.99 ,FALSE
SO44169,2012,1,Northwest,Gaming Gear,Headsets,Headset Stands,Shipped,1,34.99,$8.17 ,$34.99 ,FALSE
SO43969,2012,1,Southwest,Gaming Gear,Headsets,Headset Stands,Shipped,1,34.99,$8.17 ,$34.99 ,FALSE
SO43786,2012,1,Australia,PC Components,CPU Coolers,iCUE-Controlled Liquid Coolers,Shipped,1,169.99,$50.38 ,$169.99 ,FALSE
SO43834,2012,1,Australia,PC Components,CPU Coolers,iCUE-Controlled Liquid Coolers,Shipped,1,159.99,$42.09 ,$159.99 ,FALSE
SO43918,2012,1,Canada,PC Components,CPU Coolers,iCUE-Controlled Liquid Coolers,Shipped,1,169.99,$50.38 ,$169.99 ,FALSE
SO44022,2012,1,Canada,PC Components,CPU Coolers,iCUE-Controlled Liquid Coolers,Shipped,1,159.99,$42.09 ,$159.99 ,FALSE
SO44050,2012,1,China,PC Components,CPU Coolers,iCUE-Controlled Liquid Coolers,Shipped,1,159.99,$42.09 ,$159.99 ,FALSE
SO44067,2012,1,China,PC Components,CPU Coolers,iCUE-Controlled Liquid Coolers,Shipped,1,169.99,$50.38 ,$169.99 ,FALSE
SO44071,2012,1,China,PC Components,CPU Coolers,iCUE-Controlled Liquid Coolers,Shipped,1,159.99,$42.09 ,$159.99 ,FALSE
SO44036,2012,1,China,PC Components,Power Supply Units,iCUE-Controlled PUS,Shipped,1,144.99,$129.48 ,$144.99 ,FALSE
SO44008,2012,1,Northwest,PC Components,Power Supply Units,iCUE-Controlled PUS,Shipped,1,104.99,$80.02 ,$104.99 ,FALSE
SO44203,2012,1,Southwest,PC Components,Power Supply Units,iCUE-Controlled PUS,Shipped,1,104.99,$80.02 ,$104.99 ,FALSE
SO43832,2012,1,United Kingdom,PC Components,Power Supply Units,iCUE-Controlled PUS,Shipped,1,144.99,$129.48 ,$144.99 ,FALSE
SO44138,2012,1,United Kingdom,PC Components,Power Supply Units,iCUE-Controlled PUS,Shipped,1,104.99,$80.02 ,$104.99 ,FALSE
SO44142,2012,1,Canada,PC Components,Memory,Laptop and Notebook Memory,Shipped,1,69.99,$11.43 ,$69.99 ,FALSE
SO43818,2012,1,China,PC Components,Memory,Laptop and Notebook Memory,Shipped,1,69.99,$11.43 ,$69.99 ,FALSE
SO43959,2012,1,China,PC Components,Memory,Laptop and Notebook Memory,Shipped,1,39.99,$39.36 ,$39.99 ,FALSE
SO43964,2012,1,China,PC Components,Memory,Laptop and Notebook Memory,Shipped,1,69.99,$11.43 ,$69.99 ,FALSE
SO44181,2012,1,China,PC Components,Memory,Laptop and Notebook Memory,Shipped,1,39.99,$39.36 ,$39.99 ,FALSE
SO44051,2012,1,United Kingdom,PC Components,Memory,Laptop and Notebook Memory,Shipped,1,39.99,$39.36 ,$39.99 ,FALSE
SO44150,2012,1,China,PC Components,Fans,Low Noise Fans,Shipped,1,94.99,$93.93 ,$94.99 ,FALSE
SO44170,2012,1,Southwest,PC Components,Fans,Low Noise Fans,Shipped,1,94.99,$93.93 ,$94.99 ,FALSE
SO44042,2012,1,United Kingdom,PC Components,Fans,Low Noise Fans,Shipped,1,94.99,$93.93 ,$94.99 ,FALSE
SO43826,2012,1,China,PC Components,Storage,M2 SSDS,Shipped,1,119.99,$57.48 ,$119.99 ,FALSE
SO43712,2012,1,Germany,PC Components,Storage,M2 SSDS,Shipped,1,119.99,$57.48 ,$119.99 ,FALSE
SO44193,2012,1,Southwest,PC Components,Storage,M2 SSDS,Shipped,1,119.99,$57.48 ,$119.99 ,FALSE
SO44201,2012,1,Australia,PC Components,Fans,Magnetic Levitation Fans,Shipped,1,44.99,$12.49 ,$44.99 ,FALSE
SO44136,2012,1,Canada,PC Components,Fans,Magnetic Levitation Fans,Shipped,1,44.99,$12.49 ,$44.99 ,FALSE
SO44055,2012,1,Germany,PC Components,Fans,Magnetic Levitation Fans,Shipped,1,44.99,$12.49 ,$44.99 ,FALSE
SO43835,2012,1,Canada,PC Components,Memory,Mainstream Memory,Shipped,1,70.99,$67.16 ,$70.99 ,FALSE
SO44194,2012,1,China,PC Components,Memory,Mainstream Memory,Shipped,1,70.99,$67.16 ,$70.99 ,FALSE
SO43746,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$44.78 ,$79.99 ,FALSE
SO43753,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$44.78 ,$79.99 ,FALSE
SO43791,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$15.59 ,$79.99 ,FALSE
SO43925,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$44.78 ,$79.99 ,FALSE
SO44021,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,89.99,$84.27 ,$89.99 ,FALSE
SO44167,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,89.99,$84.27 ,$89.99 ,FALSE
SO44205,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,89.99,$84.27 ,$89.99 ,FALSE
SO44247,2012,1,China,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$15.59 ,$79.99 ,FALSE
SO43975,2012,1,Germany,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,89.99,$84.27 ,$89.99 ,FALSE
SO43699,2012,1,Northwest,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$15.59 ,$79.99 ,FALSE
SO43768,2012,1,Northwest,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,89.99,$84.27 ,$89.99 ,FALSE
SO43978,2012,1,Northwest,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$15.59 ,$79.99 ,FALSE
SO44242,2012,1,Northwest,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$15.59 ,$79.99 ,FALSE
SO44002,2012,1,Southwest,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,89.99,$84.27 ,$89.99 ,FALSE
SO44212,2012,1,Southwest,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,89.99,$84.27 ,$89.99 ,FALSE
SO44228,2012,1,United Kingdom,Gaming Gear,Keyboards,Mechanical Gaming Keyboards,Shipped,1,79.99,$15.59 ,$79.99 ,FALSE
SO44176,2012,1,Australia,PC Components,Cases,Mid Tower Atx Cases,Shipped,1,79.99,$37.10 ,$79.99 ,FALSE
SO43775,2012,1,China,PC Components,Cases,Mid Tower Atx Cases,Shipped,1,149.99,$39.54 ,$149.99 ,FALSE
SO43971,2012,1,China,PC Components,Cases,Mid Tower Atx Cases,Shipped,1,79.99,$28.25 ,$79.99 ,FALSE
SO44072,2012,1,China,PC Components,Cases,Mid Tower Atx Cases,Shipped,1,79.99,$28.25 ,$79.99 ,FALSE
SO44200,2012,1,China,PC Components,Cases,Mid Tower Atx Cases,Shipped,1,149.99,$39.54 ,$149.99 ,FALSE
SO44068,2012,1,Germany,PC Components,Cases,Mid Tower Atx Cases,Shipped,1,149.99,$39.54 ,$149.99 ,True
SO43943,2012,1,Southwest,PC Components,Cases,Mid Tower Atx Cases,Shipped,1,79.99,$37.10 ,$79.99 ,FALSE
SO43995,2012,1,Canada,Gaming Gear,Mice,MMO Role Play Gaming Mice,Shipped,1,79.99,$50.49 ,$79.99 ,FALSE
SO43796,2012,1,Australia,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,69.99,$66.71 ,$69.99 ,FALSE
SO43803,2012,1,Canada,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,29.99,$22.09 ,$29.99 ,FALSE
SO43810,2012,1,China,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,39.99,$27.48 ,$39.99 ,FALSE
SO43951,2012,1,China,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,69.99,$66.71 ,$69.99 ,FALSE
SO44020,2012,1,China,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,29.99,$22.09 ,$29.99 ,FALSE
SO43985,2012,1,Germany,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,39.99,$27.48 ,$39.99 ,FALSE
SO43748,2012,1,Northwest,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,69.99,$66.71 ,$69.99 ,True
SO44254,2012,1,Northwest,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,39.99,$27.48 ,$39.99 ,FALSE
SO43962,2012,1,Southwest,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,39.99,$27.48 ,$39.99 ,FALSE
SO44251,2012,1,Southwest,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,39.99,$27.48 ,$39.99 ,FALSE
SO44010,2012,1,United Kingdom,Gaming Gear,Mice,Moba Strategy & Action gaming Mice,Shipped,1,39.99,$27.48 ,$39.99 ,FALSE
SO44235,2012,1,Canada,PC Components,Power Supply Units,Modular Quiet Performance PSU,Shipped,1,144.99,$46.19 ,$144.99 ,FALSE
SO43719,2012,1,Southwest,PC Components,Power Supply Units,Modular Quiet Performance PSU,Shipped,1,144.99,$46.19 ,$144.99 ,FALSE
SO43780,2012,1,Australia,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
SO44226,2012,1,Australia,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
SO44272,2012,1,Australia,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
SO43727,2012,1,China,Streaming Gear,Multi Mount,Mount,Backordered,1,14.99,$9.03 ,$14.99 ,FALSE
SO43928,2012,1,China,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
SO43963,2012,1,China,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
SO43841,2012,1,Germany,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
SO44011,2012,1,Germany,Streaming Gear,Multi Mount,Mount,Shipped,1,39.99,$33.83 ,$39.99 ,FALSE
SO43920,2012,1,Southwest,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
SO44155,2012,1,Southwest,Streaming Gear,Multi Mount,Mount,Shipped,1,39.99,$33.83 ,$39.99 ,FALSE
SO44210,2012,1,United Kingdom,Streaming Gear,Multi Mount,Mount,Shipped,1,49.99,$48.40 ,$49.99 ,FALSE
